iter	Passed	Remaining
0	5	4462
1	6	2444
2	6	1782
3	7	1438
4	7	1206
5	8	1071
6	11	1316
7	12	1201
8	12	1111
9	13	1039
10	13	979
11	14	929
12	17	1059
13	18	1010
14	18	969
15	19	933
16	19	900
17	20	871
18	23	968
19	24	938
20	24	906
21	24	881
22	25	859
23	25	838
24	29	913
25	29	892
26	30	873
27	31	855
28	31	838
29	32	821
30	35	881
31	35	857
32	36	842
33	36	828
34	37	814
35	37	801
36	41	851
37	41	837
38	42	824
39	42	812
40	43	798
41	43	782
42	43	772
43	47	815
44	47	804
45	48	791
46	48	782
47	49	772
48	49	763
49	53	799
50	53	790
51	54	781
52	54	772
53	55	764
54	55	756
55	59	789
56	59	776
57	60	768
58	60	761
59	61	754
60	61	746
61	65	775
62	65	768
63	66	761
64	66	753
65	67	747
66	67	740
67	71	766
68	71	761
69	72	753
70	72	745
71	73	739
72	73	733
73	77	757
74	77	750
75	78	744
76	78	738
77	79	734
78	82	756
79	83	750
80	83	744
81	84	738
82	84	733
83	85	727
84	88	747
85	89	742
86	89	737
87	90	731
88	90	726
89	91	721
90	94	740
91	95	734
92	96	729
93	96	724
94	97	720
95	100	736
96	101	732
97	101	727
98	102	722
99	102	717
100	103	713
101	106	729
102	107	724
103	107	720
104	108	715
105	108	711
106	109	706
107	112	721
108	113	717
109	113	713
110	114	708
111	114	704
112	115	700
113	118	714
114	119	710
115	119	706
116	120	702
117	120	698
118	124	711
119	124	707
120	125	703
121	125	699
122	126	695
123	126	691
124	130	704
125	130	700
126	131	696
127	131	692
128	132	688
129	132	685
130	136	697
131	137	693
132	137	689
133	138	686
134	138	682
135	142	693
136	142	690
137	143	686
138	143	682
139	144	679
140	144	676
141	148	686
142	148	683
143	149	680
144	149	676
145	150	673
146	150	669
147	154	679
148	154	676
149	155	673
150	155	670
151	156	667
152	159	676
153	160	673
154	161	669
155	161	666
156	162	663
157	162	660
158	166	669
159	166	666
160	167	663
161	167	659
162	168	656
163	168	653
164	172	662
165	172	659
166	173	656
167	173	653
168	174	650
169	177	658
170	178	655
171	178	652
172	179	649
173	179	646
174	180	644
175	183	651
176	184	648
177	184	646
178	185	643
179	185	640
180	186	637
181	187	638
182	188	635
183	188	632
184	189	629
185	189	627
186	190	624
187	196	638
188	196	635
189	197	632
190	200	639
191	201	636
192	201	633
193	202	631
194	202	628
195	203	626
196	206	632
197	207	629
198	207	627
199	208	624
200	208	622
201	212	628
202	212	626
203	213	623
204	213	620
205	214	618
206	214	615
207	218	621
208	219	619
209	219	616
210	220	614
211	220	611
212	221	609
213	224	615
214	225	612
215	225	610
216	226	607
217	226	605
218	230	610
219	230	608
220	231	606
221	231	603
222	232	601
223	232	598
224	236	604
225	236	601
226	237	599
227	237	597
228	241	602
229	242	599
230	242	597
231	246	602
232	246	600
233	247	598
234	247	595
235	251	600
236	251	598
237	252	596
238	252	593
239	253	591
240	253	589
241	254	586
242	257	591
243	258	588
244	261	593
245	262	590
246	265	595
247	266	593
248	266	590
249	267	588
250	267	586
251	268	583
252	271	588
253	272	585
254	273	583
255	273	581
256	274	579
257	274	576
258	278	581
259	278	578
260	279	576
261	279	574
262	280	572
263	283	576
264	284	573
265	284	571
266	285	569
267	285	567
268	286	565
269	289	568
270	290	566
271	290	564
272	291	562
273	291	560
274	292	558
275	295	561
276	296	559
277	296	556
278	300	560
279	300	558
280	301	556
281	304	559
282	305	557
283	308	560
284	309	558
285	309	556
286	310	554
287	313	556
288	313	554
289	314	552
290	315	552
291	316	550
292	316	548
