file,backend,precision,selected_threshold,selected_fidelity,selected_threshold_log2,forward_wall_s,forward_threshold,forward_unique_outcomes,forward_peak_rss_mb,estimated_per_shot_s,estimated_setup_s,state_setup_wall_s,state_setup_peak_rss_mb,sweep_fid_1,sweep_wall_1,sweep_rss_1,sweep_fid_2,sweep_wall_2,sweep_rss_2,sweep_fid_4,sweep_wall_4,sweep_rss_4,sweep_fid_8,sweep_wall_8,sweep_rss_8,sweep_fid_16,sweep_wall_16,sweep_rss_16,sweep_fid_32,sweep_wall_32,sweep_rss_32,sweep_fid_64,sweep_wall_64,sweep_rss_64,sweep_fid_128,sweep_wall_128,sweep_rss_128,sweep_fid_256,sweep_wall_256,sweep_rss_256,sweep_fid_512,sweep_wall_512,sweep_rss_512,sweep_min_fidelity,sweep_max_fidelity,n_sweep_rungs,fidelity_at_1,rungs_to_099,biggest_fid_jump,biggest_jump_rung,verify_p_return_zero,n_qubits,n_cbits,n_qregs,n_cregs,gate_cx_count,gate_cx_frac,gate_cz_count,gate_cz_frac,gate_cp_count,gate_cp_frac,gate_rzz_count,gate_rzz_frac,gate_rxx_count,gate_rxx_frac,gate_swap_count,gate_swap_frac,gate_ccx_count,gate_ccx_frac,gate_rccx_count,gate_rccx_frac,gate_cswap_count,gate_cswap_frac,gate_h_count,gate_h_frac,gate_x_count,gate_x_frac,gate_y_count,gate_y_frac,gate_z_count,gate_z_frac,gate_rx_count,gate_rx_frac,gate_ry_count,gate_ry_frac,gate_rz_count,gate_rz_frac,gate_p_count,gate_p_frac,gate_u_count,gate_u_frac,gate_u1_count,gate_u1_frac,gate_u2_count,gate_u2_frac,gate_u3_count,gate_u3_frac,gate_s_count,gate_s_frac,gate_sdg_count,gate_sdg_frac,gate_t_count,gate_t_frac,gate_tdg_count,gate_tdg_frac,gate_sx_count,gate_sx_frac,gate_sxdg_count,gate_sxdg_frac,gate_cu_count,gate_cu_frac,gate_cu1_count,gate_cu1_frac,gate_cu3_count,gate_cu3_frac,gate_cry_count,gate_cry_frac,gate_crx_count,gate_crx_frac,gate_crz_count,gate_crz_frac,gate_ch_count,gate_ch_frac,n_1q_gates,n_2q_gates,n_3q_gates,n_parameterized_gates,frac_2q,frac_3q,frac_parameterized,n_distinct_gate_types,total_gates,max_cut_pressure,mean_cut_pressure,std_cut_pressure,sum_cut_pressure,cut_pressure_entropy,n_active_cuts,cut_pressure_frac_active,edge_cutwidth_natural,entangling_cutwidth_natural,max_gate_span,mean_gate_span,std_gate_span,frac_nearest_neighbor,frac_long_range,circuit_depth,depth_per_qubit,gate_density,n_entangling_gates,n_entangling_layers,entangling_gate_ratio,graph_n_edges,graph_density,graph_n_components,graph_largest_component_frac,graph_avg_clustering,graph_avg_shortest_path,graph_diameter,graph_conductance_best_cut,graph_sparsity,graph_clustering_over_density,graph_max_degree,graph_mean_degree,graph_std_degree,graph_min_degree,graph_median_degree,graph_p25_degree,graph_p75_degree,graph_degree_entropy,graph_degeneracy,graph_arboricity,graph_treewidth_min_degree,graph_treewidth_min_fill,graph_bandwidth_natural,graph_bandwidth_heuristic,graph_bandwidth_min,graph_cutwidth_natural,graph_cutwidth_heuristic,graph_cutwidth_min,graph_linear_arrangement_natural,graph_linear_arrangement_heuristic,graph_linear_arrangement_min,graph_min_balanced_separator,graph_recursive_bisection_max_cut,graph_recursive_bisection_avg_cut,graph_max_wdegree,graph_mean_wdegree,graph_std_wdegree,graph_min_wdegree,graph_median_wdegree,graph_p25_wdegree,graph_p75_wdegree,graph_max_edge_weight,graph_mean_edge_weight,is_nearest_neighbor,is_star_topology,is_all_to_all,param_mean,param_std,param_min,param_max,param_n_unique,param_entropy,gates_per_qubit,entangling_gates_per_qubit,cut_pressure_per_qubit,log_total_gates,log_n_qubits,log_max_cut_pressure,predicted_family,true_family,is_gpu,is_double,log_forward_wall_s,log_setup_s,log_per_shot_s
ae_indep_qiskit_130.qasm,CPU,double,16,0.9993819448229331,4,76.83209070000157,16,10000,450.6484375,0.004433401610161397,32.498074598387596,32.50250799999776,431.87890625,3.3435340943511685e-23,12.428425099999004,450.28125,7.20668531328448e-05,13.313726500004122,450.51171875,0.023924497072628278,21.532084099999338,450.8203125,0.9886211431639623,62.91265599999315,452.34765625,0.9993819448229331,343.04117060000135,455.62109375,0.9999978433542261,1948.5177767999994,459.41015625,,,,0.9999999993789912,882.6839183999982,458.15625,0.9999999993790272,880.6506221000018,459.2734375,0.9999999993790272,896.0573402000009,456.35546875,3.3435340943511685e-23,0.9999999993790272,9,3.3435340943511685e-23,4,0.9646966460913341,8,1.0,130,130,2,1,258.0,0.028568264865463405,0.0,0.0,8256.0,0.914184475694829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.014284132432731703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.014394862141512569,0.0,0.0,129.0,0.014284132432731703,129.0,0.014284132432731703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,8514.0,0.0,8644.0,0.9427527405602923,0.0,0.9571476027018049,6.0,9031.0,4290.0,2903.3333333333335,1240.7195045169915,374530.0,6.85032038457583,129,1.0,4225.0,4290.0,129.0,43.98989898989899,30.744793416317165,0.01526896875734085,0.5696499882546394,773.0,5.946153846153846,0.08986963877002686,8514.0,386.0,0.9427527405602923,8385.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,0.0,129.0,129.0,129.0,129.0,7.022367813028455,129.0,0.0,129.0,129.0,129.0,129.0,129.0,4225.0,4225.0,4225.0,366145.0,366145.0,366145.0,65.0,4225.0,65.0,258.0,130.98461538461538,11.183081050191308,130.0,130.0,130.0,130.0,2.0,1.0153846153846153,0.0,1.0,1.0,1.0188640995029259e+35,4.99947568740469e+36,0.0,3.155422116160562e+38,285.0,0.009228617332473849,69.46923076923076,65.49230769230769,33.0,9.108529105829499,4.875197323201151,8.364275084991524,Amplitude_Estimation,Amplitude_Estimation,0.0,1.0,4.354553823002923,3.511487962504291,0.004423603035247141
ae_indep_qiskit_20.qasm,CPU,double,4,0.9933106030039517,2,7.064479499999834,4,122,426.69140625,0.0006839923392339459,0.22455610766037587,0.2252400999996098,418.1171875,0.900000000000005,0.4352039999998851,426.8671875,0.7595825213038911,0.5665276999998241,426.9140625,0.9933106030039517,0.6676586000003226,427.24609375,,,,,,,,,,,,,,,,,,,,,,0.7595825213038911,0.9933106030039517,3,0.900000000000005,2,0.23372808170006054,4,0.995,20,20,2,1,38.0,0.13286713286713286,0.0,0.0,171.0,0.5979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.06993006993006994,0.0,0.0,19.0,0.06643356643356643,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,209.0,0.0,229.0,0.7307692307692307,0.0,0.8006993006993007,6.0,286.0,110.0,80.0,27.27636339397171,1520.0,4.151516575207828,19,1.0,100.0,110.0,19.0,7.2727272727272725,4.749945628222957,0.09569377990430622,0.569377990430622,113.0,5.65,0.12654867256637167,209.0,56.0,0.7307692307692307,190.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,4.321928094887363,19.0,0.0,19.0,19.0,19.0,19.0,19.0,100.0,100.0,100.0,1330.0,1330.0,1330.0,10.0,100.0,10.0,38.0,20.9,3.923009049186606,20.0,20.0,20.0,20.0,2.0,1.1,0.0,1.0,1.0,2237.515354405191,20443.33464346947,0.0,243084.87762781463,55.0,0.17382941078335992,14.3,10.45,5.5,5.659482215759621,3.044522437723423,4.709530201312334,Amplitude_Estimation,Amplitude_Estimation,0.0,1.0,2.087469171366765,0.2025784172344742,0.0006837585230867744
ae_indep_qiskit_20.qasm,CPU,single,4,0.9933355399117253,2,5.4808029000000715,4,110,427.0,0.000524015511551132,0.2406477844887509,0.24117180000030203,418.0,0.739674763568671,0.2547451999998884,426.87890625,0.7598311444710958,0.37429850000035003,427.203125,0.9933355399117253,0.40565269999979137,427.40234375,,,,,,,,,,,,,,,,,,,,,,0.739674763568671,0.9933355399117253,3,0.739674763568671,2,0.2335043954406295,4,0.995,20,20,2,1,38.0,0.13286713286713286,0.0,0.0,171.0,0.5979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.06993006993006994,0.0,0.0,19.0,0.06643356643356643,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,209.0,0.0,229.0,0.7307692307692307,0.0,0.8006993006993007,6.0,286.0,110.0,80.0,27.27636339397171,1520.0,4.151516575207828,19,1.0,100.0,110.0,19.0,7.2727272727272725,4.749945628222957,0.09569377990430622,0.569377990430622,113.0,5.65,0.12654867256637167,209.0,56.0,0.7307692307692307,190.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,4.321928094887363,19.0,0.0,19.0,19.0,19.0,19.0,19.0,100.0,100.0,100.0,1330.0,1330.0,1330.0,10.0,100.0,10.0,38.0,20.9,3.923009049186606,20.0,20.0,20.0,20.0,2.0,1.1,0.0,1.0,1.0,2237.515354405191,20443.33464346947,0.0,243084.87762781463,55.0,0.17382941078335992,14.3,10.45,5.5,5.659482215759621,3.044522437723423,4.709530201312334,Amplitude_Estimation,Amplitude_Estimation,0.0,0.0,1.8688444070096757,0.21563365005576066,0.0005238782633676505
ae_indep_qiskit_20.qasm,GPU,double,4,0.9933106318813488,2,8.741223300000001,4,116,877.51953125,0.0007070815381538055,1.670407918461946,1.6711150000000998,865.23828125,0.9000000000000036,3.514987099999871,845.00390625,0.7595825743811969,4.360180499999842,874.74609375,0.9933106318813488,6.317070000000058,875.609375,,,,,,,,,,,,,,,,,,,,,,0.7595825743811969,0.9933106318813488,3,0.9000000000000036,2,0.2337280575001519,4,1.0,20,20,2,1,38.0,0.13286713286713286,0.0,0.0,171.0,0.5979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.06993006993006994,0.0,0.0,19.0,0.06643356643356643,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,209.0,0.0,229.0,0.7307692307692307,0.0,0.8006993006993007,6.0,286.0,110.0,80.0,27.27636339397171,1520.0,4.151516575207828,19,1.0,100.0,110.0,19.0,7.2727272727272725,4.749945628222957,0.09569377990430622,0.569377990430622,113.0,5.65,0.12654867256637167,209.0,56.0,0.7307692307692307,190.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,4.321928094887363,19.0,0.0,19.0,19.0,19.0,19.0,19.0,100.0,100.0,100.0,1330.0,1330.0,1330.0,10.0,100.0,10.0,38.0,20.9,3.923009049186606,20.0,20.0,20.0,20.0,2.0,1.1,0.0,1.0,1.0,2237.515354405191,20443.33464346947,0.0,243084.87762781463,55.0,0.17382941078335992,14.3,10.45,5.5,5.659482215759621,3.044522437723423,4.709530201312334,Amplitude_Estimation,Amplitude_Estimation,1.0,1.0,2.276366705250538,0.9822312391928864,0.0007068316737790599
ae_indep_qiskit_20.qasm,GPU,single,4,0.9933391042535065,2,6.923386600000413,4,114,511.078125,0.0005491932893289699,1.4314537067107143,1.4320029000000432,498.12109375,0.2821620963097113,3.011737300000277,478.41796875,0.7598301106335581,4.099213999999847,508.07421875,0.9933391042535065,5.349105400000099,508.69140625,,,,,,,,,,,,,,,,,,,,,,0.2821620963097113,0.9933391042535065,3,0.2821620963097113,2,0.4776680143238468,2,0.995,20,20,2,1,38.0,0.13286713286713286,0.0,0.0,171.0,0.5979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.06993006993006994,0.0,0.0,19.0,0.06643356643356643,19.0,0.06643356643356643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,209.0,0.0,229.0,0.7307692307692307,0.0,0.8006993006993007,6.0,286.0,110.0,80.0,27.27636339397171,1520.0,4.151516575207828,19,1.0,100.0,110.0,19.0,7.2727272727272725,4.749945628222957,0.09569377990430622,0.569377990430622,113.0,5.65,0.12654867256637167,209.0,56.0,0.7307692307692307,190.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,19.0,19.0,4.321928094887363,19.0,0.0,19.0,19.0,19.0,19.0,19.0,100.0,100.0,100.0,1330.0,1330.0,1330.0,10.0,100.0,10.0,38.0,20.9,3.923009049186606,20.0,20.0,20.0,20.0,2.0,1.1,0.0,1.0,1.0,2237.515354405191,20443.33464346947,0.0,243084.87762781463,55.0,0.17382941078335992,14.3,10.45,5.5,5.659482215759621,3.044522437723423,4.709530201312334,Amplitude_Estimation,Amplitude_Estimation,1.0,0.0,2.0698187154412286,0.8884893116965873,0.0005490425378863763
cutbell_n30_k6.qasm,CPU,double,2,1.0,1,19.727006099999926,2,64,426.83984375,0.001950074627462725,0.22625982537267536,0.22820990000013808,417.265625,0.015625000000000007,0.5251475000000028,425.95703125,1.0,0.26043970000000627,426.01953125,,,,,,,,,,,,,,,,,,,,,,,,,0.015625000000000007,1.0,2,0.015625000000000007,1,0.984375,2,1.0,30,30,1,1,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.5,0.0,0.0,2.0,12.0,6.0,3.103448275862069,2.5642748196659593,90.0,4.1826663630355645,20,0.6896551724137931,6.0,6.0,15.0,15.0,0.0,0.0,1.0,2.0,0.06666666666666667,0.2,6.0,6.0,0.5,6.0,0.013793103448275862,24.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,3.584962500721156,1.0,0.0,1.0,1.0,15.0,1.0,1.0,6.0,1.0,1.0,90.0,6.0,6.0,0.0,1.0,0.3333333333333333,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,2.5649493574615367,3.4339872044851463,1.9459101490553132,CutBell,CutBell,0.0,1.0,3.031437492476839,0.20396874440166615,0.0019481757002354958
cutbell_n30_k6.qasm,CPU,single,2,0.9999992847443906,1,6.355348400000139,2,64,426.5,0.000615248454845489,0.20286385154524958,0.20347910000009506,417.265625,0.015624996274709924,0.273379900000009,425.890625,0.9999992847443906,0.2775664000000688,426.078125,,,,,,,,,,,,,,,,,,,,,,,,,0.015624996274709924,0.9999992847443906,2,0.015624996274709924,1,0.9843742884696807,2,1.0,30,30,1,1,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.5,0.0,0.0,2.0,12.0,6.0,3.103448275862069,2.5642748196659593,90.0,4.1826663630355645,20,0.6896551724137931,6.0,6.0,15.0,15.0,0.0,0.0,1.0,2.0,0.06666666666666667,0.2,6.0,6.0,0.5,6.0,0.013793103448275862,24.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,3.584962500721156,1.0,0.0,1.0,1.0,15.0,1.0,1.0,6.0,1.0,1.0,90.0,6.0,6.0,0.0,1.0,0.3333333333333333,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,2.5649493574615367,3.4339872044851463,1.9459101490553132,CutBell,CutBell,0.0,0.0,1.9954277220681793,0.18470525647751948,0.0006150592671092251
cutbell_n30_k6.qasm,GPU,double,2,1.0000000000000027,1,20.084437799999932,2,64,843.59765625,0.00198558845884588,0.22855321154113073,0.23053879999997662,831.34765625,0.015625000000000007,0.5556483999998818,840.11328125,1.0000000000000027,0.6615885999999591,851.1328125,,,,,,,,,,,,,,,,,,,,,,,,,0.015625000000000007,1.0000000000000027,2,0.015625000000000007,1,0.9843750000000027,2,1.0,30,30,1,1,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.5,0.0,0.0,2.0,12.0,6.0,3.103448275862069,2.5642748196659593,90.0,4.1826663630355645,20,0.6896551724137931,6.0,6.0,15.0,15.0,0.0,0.0,1.0,2.0,0.06666666666666667,0.2,6.0,6.0,0.5,6.0,0.013793103448275862,24.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,3.584962500721156,1.0,0.0,1.0,1.0,15.0,1.0,1.0,6.0,1.0,1.0,90.0,6.0,6.0,0.0,1.0,0.3333333333333333,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,2.5649493574615367,3.4339872044851463,1.9459101490553132,CutBell,CutBell,1.0,1.0,3.048535223338181,0.2058372262788569,0.001983619783637033
cutbell_n30_k6.qasm,GPU,single,2,1.0,1,6.362876700000015,2,64,478.984375,0.0006149372637263759,0.21350406273625602,0.2141189999999824,465.1875,0.015624996274709924,0.2965563000000202,473.66796875,1.0,0.3033530999998675,484.45703125,,,,,,,,,,,,,,,,,,,,,,,,,0.015624996274709924,1.0,2,0.015624996274709924,1,0.9843750037252901,2,1.0,30,30,1,1,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.5,0.0,0.0,2.0,12.0,6.0,3.103448275862069,2.5642748196659593,90.0,4.1826663630355645,20,0.6896551724137931,6.0,6.0,15.0,15.0,0.0,0.0,1.0,2.0,0.06666666666666667,0.2,6.0,6.0,0.5,6.0,0.013793103448275862,24.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,3.584962500721156,1.0,0.0,1.0,1.0,15.0,1.0,1.0,6.0,1.0,1.0,90.0,6.0,6.0,0.0,1.0,0.3333333333333333,1.0,0.4,0.48989794855663565,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,2.5649493574615367,3.4339872044851463,1.9459101490553132,CutBell,CutBell,1.0,0.0,1.9964507123547477,0.19351209412803375,0.0006147482672838839
dj_indep_qiskit_130.qasm,CPU,double,1,0.9999999999905649,0,2588.3113831,1,1,428.2578125,0.2587631431743174,0.6799513568257427,0.9387145000000601,417.93359375,0.9999999999905649,1.5769649999997455,427.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999905649,0.9999999999905649,1,0.9999999999905649,0,0.0,1,1.0,130,129,1,1,129.0,0.3324742268041237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.36082474226804123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.30670103092783507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,129.0,0.0,119.0,0.3324742268041237,0.0,0.30670103092783507,3.0,388.0,129.0,65.0,37.23797345005051,8385.0,6.738054026260361,129,1.0,129.0,129.0,129.0,65.0,37.23797345005051,0.007751937984496124,0.751937984496124,131.0,1.0076923076923077,0.022783323546682326,129.0,129.0,0.3324742268041237,129.0,0.015384615384615385,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1.9846153846153847,11.183081050191308,1.0,1.0,1.0,1.0,4.505613627711627,1.0,0.0,1.0,1.0,129.0,129.0,129.0,129.0,129.0,129.0,8385.0,8385.0,8385.0,1.0,65.0,16.125,129.0,1.9846153846153847,11.183081050191308,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.5839962959276266,1.5707408637605487,0.0,3.141592653589793,2.0,0.999949060376349,2.9846153846153847,0.9923076923076923,0.9923076923076923,5.963579343618446,4.875197323201151,4.867534450455582,Deutsch_Jozsa,Deutsch_Jozsa,0.0,1.0,7.8591472440915275,0.5187648387255933,0.23012960644543223
