iter	Passed	Remaining
0	0	290
1	0	317
2	1	283
3	1	283
4	1	277
5	2	269
6	2	260
7	2	252
8	2	249
9	3	246
10	3	242
11	3	238
12	3	235
13	4	234
14	4	231
15	4	229
16	4	228
17	5	227
18	5	225
19	5	223
20	6	225
21	6	224
22	6	224
23	6	223
24	7	222
25	7	221
26	7	224
27	8	223
28	8	223
29	8	223
30	9	224
31	9	239
32	10	238
33	10	237
34	10	235
35	11	249
36	12	247
37	12	246
38	12	245
39	12	243
40	13	242
41	13	240
42	13	238
43	13	238
44	14	237
45	14	235
46	14	235
47	14	234
48	15	232
49	15	231
50	15	230
51	15	229
52	16	228
53	17	239
54	17	237
55	17	236
56	18	236
57	18	235
58	18	234
59	18	232
60	19	231
61	19	231
62	19	231
63	20	230
64	20	229
65	20	228
66	20	227
67	21	226
68	21	226
69	21	225
70	21	224
71	22	224
72	22	223
73	22	223
74	23	222
75	23	221
76	23	221
77	23	220
78	24	219
79	24	220
80	24	220
81	25	220
82	25	220
83	25	219
84	26	218
85	26	218
86	26	217
87	26	216
88	27	216
89	27	215
90	27	216
91	28	216
92	28	215
93	28	215
94	28	214
95	29	213
96	29	213
97	29	212
98	29	211
99	30	211
100	30	210
101	30	210
102	30	209
103	31	214
104	32	213
105	32	213
106	32	212
107	33	212
108	33	211
109	33	211
110	33	210
111	34	210
112	34	209
113	34	209
114	35	209
115	35	208
116	35	208
117	35	207
118	36	207
119	36	206
120	36	206
121	36	205
122	37	205
123	37	205
124	37	204
125	38	204
126	38	203
127	38	203
128	39	203
129	39	202
130	39	202
131	39	201
132	40	201
133	40	201
134	40	201
135	41	201
136	41	200
137	41	200
138	42	199
139	42	199
140	42	199
141	42	198
142	43	198
143	43	197
144	43	197
145	43	196
146	44	196
147	44	196
148	44	195
149	45	195
150	45	195
151	45	194
152	45	194
153	46	193
154	46	193
155	46	192
156	46	192
157	47	192
158	47	191
159	47	191
160	48	191
161	48	190
162	48	190
163	48	189
164	49	189
165	49	189
166	49	188
167	50	188
168	50	187
169	50	187
170	50	187
171	51	186
172	51	186
173	51	186
174	51	185
175	52	185
176	52	184
177	52	184
178	53	184
179	53	183
180	53	183
181	53	182
182	54	182
183	54	182
184	54	181
185	54	181
186	55	183
187	56	183
188	56	182
189	57	184
190	57	184
191	57	183
192	58	183
193	58	182
194	58	182
195	59	182
196	59	181
197	59	181
198	59	181
199	60	180
200	60	180
201	60	180
202	61	179
203	61	179
204	61	178
205	61	178
206	62	178
207	62	177
208	62	177
209	63	177
210	63	176
211	63	176
212	64	176
213	64	176
214	64	175
215	64	175
216	65	174
217	65	174
218	65	174
219	65	173
220	66	173
221	66	172
222	67	174
223	67	173
224	67	173
225	68	173
226	68	172
227	68	172
228	68	171
229	69	171
230	69	171
231	69	170
232	70	170
233	70	170
234	70	169
235	70	169
236	71	168
237	71	168
238	71	168
239	72	169
240	72	169
241	73	168
242	73	168
243	73	168
244	74	167
245	74	167
246	74	166
247	74	166
248	75	166
249	75	165
250	75	165
251	75	165
252	76	164
253	76	164
254	76	164
255	77	163
256	77	163
257	77	163
258	77	162
259	78	162
260	78	161
261	79	162
262	79	162
263	79	161
264	80	161
265	80	161
266	80	160
267	80	160
268	81	160
269	81	160
270	81	159
271	82	159
272	82	159
273	82	158
274	83	158
275	83	158
276	83	157
277	83	157
278	84	157
279	84	156
280	84	156
281	84	156
282	85	155
283	85	155
284	85	154
285	86	154
286	86	154
287	86	153
288	86	153
289	87	153
290	87	152
291	87	152
292	88	153
293	89	153
294	89	153
295	89	152
296	89	152
297	90	151
298	90	151
299	90	151
300	91	150
301	91	150
302	91	150
303	91	149
304	92	149
305	92	149
306	92	148
307	92	148
308	93	148
309	93	147
310	93	147
311	93	146
312	94	147
313	95	147
314	95	147
315	95	146
316	96	146
317	96	146
318	96	146
319	97	145
320	97	145
321	97	145
322	98	144
323	98	144
324	98	144
325	98	143
326	99	143
327	99	143
328	99	142
329	100	142
330	100	142
331	100	141
332	100	141
333	101	141
334	102	141
335	102	141
336	102	140
337	103	141
338	104	141
339	104	141
340	105	141
341	105	141
342	105	141
343	106	140
344	106	140
345	106	140
346	107	139
347	107	139
348	107	139
349	107	138
350	108	138
351	108	138
352	108	137
353	109	137
354	109	137
355	109	136
356	109	136
357	110	136
358	110	135
359	110	135
360	110	134
361	111	134
362	111	134
363	111	133
364	112	133
365	113	134
366	113	133
367	113	133
368	113	132
369	114	132
370	114	132
371	114	131
372	114	131
373	115	131
374	115	130
375	115	130
376	115	130
377	116	129
378	116	129
379	116	129
380	117	128
381	117	128
382	117	128
383	117	127
384	118	127
385	118	127
386	118	126
387	119	126
388	119	126
389	120	126
390	120	126
391	121	125
392	121	125
393	121	125
394	121	125
395	122	124
396	122	124
397	122	124
398	123	123
399	123	123
400	123	123
401	123	122
402	124	122
403	124	121
404	124	121
405	125	121
406	125	120
407	125	120
408	125	120
409	126	119
410	126	119
411	126	119
412	126	118
413	127	118
414	128	119
415	128	118
416	128	118
